high_value_town,large_lots,industrial_land,river_side,mean_rooms,pupil_teacher_ratio
0,0,6.2,1,6.726,17.4
0,0,6.2,0,6.086,17.4
0,0,6.2,1,6.631,17.4
1,0,6.2,0,7.358,17.4
0,0.3,4.93,0,6.481,16.6
0,0.3,4.93,0,6.606,16.6
0,0.3,4.93,0,6.897,16.6
0,0.3,4.93,0,6.095,16.6
0,0.3,4.93,0,6.358,16.6
0,0.3,4.93,0,6.393,16.6
0,0.22,5.86,0,5.593,19.1
0,0.22,5.86,0,5.605,19.1
0,0.22,5.86,0,6.108,19.1
0,0.22,5.86,0,6.226,19.1
0,0.22,5.86,0,6.433,19.1
0,0.22,5.86,0,6.718,19.1
0,0.22,5.86,0,6.487,19.1
0,0.22,5.86,0,6.438,19.1
0,0.22,5.86,0,6.957,19.1
1,0.22,5.86,0,8.259,19.1
0,0.8,3.64,0,6.108,16.4
0,0.8,3.64,0,5.876,16.4
1,0.9,3.75,0,7.454,15.9
1,0.2,3.97,0,8.704,13
1,0.2,3.97,0,7.333,13
1,0.2,3.97,0,6.842,13
1,0.2,3.97,0,7.203,13
1,0.2,3.97,0,7.52,13
1,0.2,3.97,0,8.398,13
1,0.2,3.97,0,7.327,13
1,0.2,3.97,0,7.206,13
0,0.2,3.97,0,5.56,13
1,0.2,3.97,0,7.014,13
1,0.2,3.97,0,8.297,13
1,0.2,3.97,0,7.47,13
0,0.2,6.96,1,5.92,18.6
0,0.2,6.96,0,5.856,18.6
0,0.2,6.96,0,6.24,18.6
0,0.2,6.96,0,6.538,18.6
1,0.2,6.96,1,7.691,18.6
1,0.4,6.41,1,6.758,17.6
1,0.4,6.41,0,6.854,17.6
1,0.4,6.41,1,7.267,17.6
1,0.4,6.41,1,6.826,17.6
0,0.4,6.41,0,6.482,17.6
1,0.2,3.33,0,6.812,14.9
1,0.2,3.33,0,7.82,14.9
1,0.2,3.33,0,6.968,14.9
1,0.2,3.33,1,7.645,14.9
1,0.9,1.21,1,7.923,13.6
1,0.9,2.97,0,7.088,15.3
0,0.55,2.25,0,6.453,15.3
0,0.8,1.76,0,6.23,18.2
0,0.525,5.32,0,6.209,16.6
0,0.525,5.32,0,6.315,16.6
0,0.525,5.32,0,6.565,16.6
0,0.8,4.95,0,6.861,19.2
1,0.8,4.95,0,7.148,19.2
0,0.8,4.95,0,6.63,19.2
0,0,13.92,0,6.127,16
0,0,13.92,0,6.009,16
0,0,13.92,0,6.678,16
0,0,13.92,0,6.549,16
0,0,13.92,0,5.79,16
0,0.7,2.24,0,6.345,14.8
0,0.7,2.24,0,7.041,14.8
0,0.7,2.24,0,6.871,14.8
0,0.34,6.09,0,6.59,16.1
0,0.34,6.09,0,6.495,16.1
1,0.34,6.09,0,6.982,16.1
1,0.33,2.18,0,7.236,18.4
0,0.33,2.18,0,6.616,18.4
1,0.33,2.18,0,7.42,18.4
0,0.33,2.18,0,6.849,18.4
0,0,9.9,0,6.635,18.4
0,0,9.9,0,5.972,18.4
0,0,9.9,0,4.973,18.4
0,0,9.9,0,6.122,18.4
0,0,9.9,0,6.023,18.4
0,0,9.9,0,6.266,18.4
0,0,9.9,0,6.567,18.4
0,0,9.9,0,5.705,18.4
0,0,9.9,0,5.914,18.4
0,0,9.9,0,5.782,18.4
0,0,9.9,0,6.382,18.4
0,0,9.9,0,6.113,18.4
0,0,7.38,0,6.426,19.6
0,0,7.38,0,6.376,19.6
0,0,7.38,0,6.041,19.6
0,0,7.38,0,5.708,19.6
0,0,7.38,0,6.415,19.6
0,0,7.38,0,6.431,19.6
0,0,7.38,0,6.312,19.6
0,0,7.38,0,6.083,19.6
0,0,3.24,0,5.868,16.9
0,0,3.24,0,6.333,16.9
0,0,3.24,0,6.144,16.9
0,0.35,6.06,0,5.706,16.9
0,0.35,6.06,0,6.031,16.9
0,0,5.19,0,6.316,20.2
0,0,5.19,0,6.31,20.2
0,0,5.19,0,6.037,20.2
0,0,5.19,0,5.869,20.2
0,0,5.19,0,5.895,20.2
0,0,5.19,0,6.059,20.2
0,0,5.19,0,5.985,20.2
0,0,5.19,0,5.968,20.2
1,0.35,1.52,0,7.241,15.5
0,0,1.89,0,6.54,15.9
0,0.55,3.78,0,6.696,17.6
1,0.55,3.78,0,6.874,17.6
0,0,4.39,0,6.014,18.8
0,0,4.39,0,5.898,18.8
0,0.85,4.15,0,6.516,17.9
0,0.8,2.01,0,6.635,17
0,0.4,1.25,0,6.939,19.7
0,0.4,1.25,0,6.49,19.7
0,0.6,1.69,0,6.579,18.3
0,0.6,1.69,0,5.884,18.3
1,0.9,2.02,0,6.728,17
0,0.8,1.91,0,5.663,22
0,0.8,1.91,0,5.936,22
0,0,18.1,1,6.212,20.2
0,0,18.1,1,6.395,20.2
0,0,18.1,1,6.127,20.2
0,0,18.1,0,6.112,20.2
0,0,18.1,0,6.398,20.2
0,0,18.1,0,6.251,20.2
0,0,18.1,0,5.362,20.2
0,0,18.1,1,5.803,20.2
0,0,18.1,1,8.78,20.2
0,0,18.1,0,3.561,20.2
0,0,18.1,0,4.963,20.2
0,0,18.1,0,3.863,20.2
1,0,18.1,0,4.97,20.2
1,0,18.1,1,6.683,20.2
1,0,18.1,1,7.016,20.2
1,0,18.1,0,6.216,20.2
1,0,18.1,1,5.875,20.2
0,0,18.1,0,4.906,20.2
0,0,18.1,0,4.138,20.2
0,0,18.1,0,7.313,20.2
0,0,18.1,0,6.649,20.2
0,0,18.1,0,6.794,20.2
0,0,18.1,0,6.38,20.2
0,0,18.1,0,6.223,20.2
0,0,18.1,0,6.968,20.2
0,0,18.1,0,6.545,20.2
0,0,18.1,0,5.536,20.2
0,0,18.1,0,5.52,20.2
0,0,18.1,0,4.368,20.2
0,0,18.1,0,5.277,20.2
0,0,18.1,0,4.652,20.2
0,0,18.1,0,5,20.2
0,0,18.1,0,4.88,20.2
0,0,18.1,0,5.39,20.2
0,0,18.1,0,5.713,20.2
0,0,18.1,0,6.051,20.2
0,0,18.1,0,5.036,20.2
0,0,18.1,0,6.193,20.2
0,0,18.1,0,5.887,20.2
0,0,18.1,0,6.471,20.2
0,0,18.1,0,6.405,20.2
0,0,18.1,0,5.747,20.2
0,0,18.1,0,5.453,20.2
0,0,18.1,0,5.852,20.2
0,0,18.1,0,5.987,20.2
0,0,18.1,0,6.343,20.2
0,0,18.1,0,6.404,20.2
0,0,18.1,0,5.349,20.2
0,0,18.1,0,5.531,20.2
0,0,18.1,0,5.683,20.2
0,0,18.1,0,4.138,20.2
0,0,18.1,0,5.608,20.2
0,0,18.1,0,5.617,20.2
0,0,18.1,0,6.852,20.2
0,0,18.1,0,5.757,20.2
0,0,18.1,0,6.657,20.2
0,0,18.1,0,4.628,20.2
0,0,18.1,0,5.155,20.2
0,0,18.1,0,4.519,20.2
0,0,18.1,0,6.434,20.2
0,0,18.1,0,6.782,20.2
0,0,18.1,0,5.304,20.2
0,0,18.1,0,5.957,20.2
0,0,18.1,0,6.824,20.2
0,0,18.1,0,6.411,20.2
0,0,18.1,0,6.006,20.2
0,0,18.1,0,5.648,20.2
0,0,18.1,0,6.103,20.2
0,0,18.1,0,5.565,20.2
0,0,18.1,0,5.896,20.2
0,0,18.1,0,5.837,20.2
0,0,18.1,0,6.202,20.2
0,0,18.1,0,6.193,20.2
0,0,18.1,0,6.38,20.2
0,0,18.1,0,6.348,20.2
0,0,18.1,0,6.833,20.2
0,0,18.1,0,6.425,20.2
0,0,18.1,0,6.436,20.2
0,0,18.1,0,6.208,20.2
0,0,18.1,0,6.629,20.2
0,0,18.1,0,6.461,20.2
0,0,18.1,0,6.152,20.2
0,0,18.1,0,5.935,20.2
0,0,18.1,0,5.627,20.2
0,0,18.1,0,5.818,20.2
0,0,18.1,0,6.406,20.2
0,0,18.1,0,6.219,20.2
0,0,18.1,0,6.485,20.2
0,0,18.1,0,5.854,20.2
0,0,18.1,0,6.459,20.2
0,0,18.1,0,6.341,20.2
0,0,18.1,0,6.251,20.2
0,0,18.1,0,6.185,20.2
0,0,18.1,0,6.417,20.2
0,0,18.1,0,6.749,20.2
0,0,18.1,0,6.655,20.2
0,0,18.1,0,6.297,20.2
0,0,18.1,0,7.393,20.2
0,0,18.1,0,6.728,20.2
0,0,18.1,0,6.525,20.2
0,0,18.1,0,5.976,20.2
0,0,18.1,0,5.936,20.2
0,0,18.1,0,6.301,20.2
0,0,18.1,0,6.081,20.2
0,0,18.1,0,6.701,20.2
0,0,18.1,0,6.376,20.2
0,0,18.1,0,6.317,20.2
0,0,18.1,0,6.513,20.2
0,0,18.1,0,6.209,20.2
0,0,18.1,0,5.759,20.2
0,0,18.1,0,5.952,20.2
0,0,18.1,0,6.003,20.2
0,0,18.1,0,5.926,20.2
0,0,18.1,0,5.713,20.2
0,0,18.1,0,6.167,20.2
0,0,18.1,0,6.229,20.2
0,0,18.1,0,6.437,20.2
0,0,18.1,0,6.98,20.2
0,0,18.1,0,5.427,20.2
0,0,18.1,0,6.162,20.2
0,0,18.1,0,6.484,20.2
0,0,18.1,0,5.304,20.2
0,0,18.1,0,6.185,20.2
0,0,18.1,0,6.229,20.2
0,0,18.1,0,6.242,20.2
0,0,18.1,0,6.75,20.2
0,0,18.1,0,7.061,20.2
0,0,18.1,0,5.762,20.2
0,0,18.1,0,5.871,20.2
0,0,18.1,0,6.312,20.2
0,0,18.1,0,6.114,20.2
0,0,18.1,0,5.905,20.2
0,0,27.74,0,5.454,20.1
0,0,27.74,0,5.414,20.1
0,0,27.74,0,5.093,20.1
0,0,27.74,0,5.983,20.1
0,0,27.74,0,5.983,20.1
0,0,9.69,0,5.707,19.2
0,0,9.69,0,5.926,19.2
0,0,9.69,0,5.67,19.2
0,0,9.69,0,5.39,19.2
0,0,9.69,0,5.794,19.2
0,0,9.69,0,6.019,19.2
0,0,9.69,0,5.569,19.2
0,0,9.69,0,6.027,19.2
0,0,11.93,0,6.593,21
0,0,11.93,0,6.12,21
0,0,11.93,0,6.976,21
0,0,11.93,0,6.794,21
0,0,11.93,0,6.03,21
